0,1,2,3
7,16,3071,0.0625
409,1,3104,0.65625
23,1,4289,0.34375
4,2,4383,0.375
4,1,5278,0.3125
49,4,5296,0.5625
13241,32,5368,0.9375
132,1,5412,0.625
200,2,5596,0.71875
2,4,5636,0.25
5252,4,5658,0.875
15,8,5669,0.28125
285,16,5954,0.8125
441,8,6023,0.84375
17,16,6091,0.125
15,16,6102,0.6875
9,1,6308,0.40625
56,8,6333,0.75
322,32,6970,0.90625
16754,65,7494,0.96875
5,1,7547,0.4375
27,1,7576,0.03125
62,1,7643,0.1875
283,1,3438,0.65625
9,1,3623,0.03125
63,4,3701,0.375
15358,8,3733,0.84375
2175,1,4049,0.6875
14,2,4091,0.25
273,1,4173,0.28125
5,1,4199,0.40625
8137,2,4260,0.8125
7918,139,4311,1.0
12256,6,4324,0.75
264,8,4333,0.5
141,10,4379,0.625
18911,1,4397,0.3125
11,1,4593,0.46875
3,8,4667,0.15625
48,32,4695,0.4375
7292,2,4733,0.71875
19,2,5246,0.125
16467,64,5295,0.96875
113,2,5311,0.34375
531,16,5622,0.78125
7759,32,6197,0.90625
7337,1,6266,0.53125
13,18,6270,0.09375
12,4,6283,0.0625
33159,1,6484,0.5625
13357,32,7041,0.875
2,32,7680,0.1875
30,4,7768,0.59375
15071,32,7873,0.9375
16,1,7965,0.21875
19171,32,9692,0.40625
21038,1,9989,0.65625
25202,32,10067,0.125
18,8,10135,0.0625
13,32,10689,0.15625
10644,16,10806,0.5
25,16,10841,0.03125
12216,16,10944,0.1875
7956,128,13479,0.21875
4,16,13698,0.09375
4586,32,26951,0.25
14,2,27156,0.28125
1946,1,27348,0.3125
8308,1,27586,0.375
2,4,28112,0.34375
3,32,28647,0.4375
220,1,28746,0.46875
174,4,39695,0.53125
6,5,39858,0.5625
135,8,40053,0.625
4,32,40160,0.59375
11713,8,43533,0.6875
635,64,43746,0.71875
46,8,45228,0.75
14579,128,45323,1.0
4716,16,45366,0.78125
17320,8,46837,0.8125
11959,128,47184,0.9375
27462,16,47646,0.875
714,2,47725,0.84375
4,1,47849,0.90625
22,1,47955,0.96875
9355,128,15310,0.8125
30,1,18322,0.03125
98,32,18436,0.0625
12492,8,20441,0.09375
10410,13,20927,0.375
19078,4,21190,0.59375
162,64,21383,0.125
22,1,26369,0.15625
8,32,26711,0.1875
3,1,27082,0.21875
11935,32,27655,0.25
266,2,37404,0.28125
5607,100,37590,0.65625
21,4,37621,0.3125
63,32,37661,0.34375
14325,8,37742,0.40625
28,8,38078,0.4375
17,1,38214,0.46875
6,4,38983,0.5
6516,128,39046,0.75
6735,8,39105,0.71875
95,2,39273,0.53125
49,16,39407,0.5625
28230,1,39841,0.6875
13995,64,40206,0.78125
167,2,40373,0.625
14723,16,80288,0.875
37,1,80366,0.84375
13425,256,81451,1.0
18613,16,82892,0.96875
6,1,82944,0.90625
25745,27,82969,0.9375
4,1,3834,0.03125
19195,1,3842,0.0625
17543,2,4228,0.09375
64,2,5613,0.125
255,32,5788,0.1875
33,8,5816,0.15625
86,2,5846,0.21875
25,8,5872,0.25
11128,1,5883,0.625
18020,1,5966,0.28125
11750,11,5981,0.4375
25,4,6047,0.3125
8,7,6320,0.34375
16,1,7047,0.375
16,12,7076,0.40625
4,1,7454,0.46875
17,4,7459,0.5
14358,2,7513,0.59375
31,4,7554,0.53125
3,4,7616,0.5625
14787,1,8255,0.875
6128,128,8396,0.71875
17,32,8474,0.65625
11237,2,8735,0.75
10133,1,8739,0.90625
19,1,8817,0.6875
1241,1,8847,0.78125
10,4,8906,0.8125
147,2,9040,0.84375
13008,2,9382,0.9375
9750,2,11469,0.96875
47,4,11479,1.0
10,1,50399,0.03125
64,2,52460,0.53125
174,5,53192,0.65625
8,8,53283,0.0625
44,8,53367,0.09375
108,32,53739,0.125
41,4,53878,0.15625
404,32,53899,0.1875
4,64,53961,0.21875
35,2,60252,0.25
18930,16,60323,0.28125
331,1,60331,0.3125
14343,4,62463,0.59375
5,128,62474,0.34375
83,1,62599,0.375
26201,1,64052,0.40625
164,32,64354,0.75
65,1,64630,0.46875
6,64,64750,0.4375
57,1,64758,0.5
726,16,64843,0.5625
23,2,64936,0.625
963,2,64949,0.6875
6,2,64966,0.71875
12663,128,65448,0.90625
10657,16,65510,0.96875
12,4,65514,0.78125
8,1,65523,0.8125
81,2,65580,0.84375
17662,64,65584,0.875
30128,2,66424,0.9375
16204,103,66441,1.0
160,1,11545,0.3125
12,3,11552,0.15625
26,6,11721,0.46875
12498,2,12045,0.875
9,12,12137,0.375
2,16,12181,0.21875
130,1,12328,0.53125
9,32,12342,0.25
3858,1,12367,0.78125
158,1,12635,0.5
16,2,12654,0.125
135,8,12672,0.65625
210,1,12824,0.34375
2371,52,12870,0.90625
121,8,12905,0.5625
11262,256,12934,1.0
202,4,13253,0.6875
124,3,13342,0.40625
31724,1,13365,0.59375
9589,16,13435,0.96875
17606,4,13586,0.75
772,16,13629,0.84375
7011,1,13672,0.625
29,8,13940,0.09375
48,1,14361,0.28125
279,8,14366,0.8125
6,1,14384,0.03125
95,16,14427,0.71875
25,2,14544,0.4375
23551,8,14728,0.9375
10139,1,14758,0.0625
18,1,14782,0.1875
11813,32,4563,0.90625
